Tier,Country,Federation,PledgeType,PledgeUnit,ALICE,ATLAS,CMS,LHCb
Tier 0,Switzerland,CH-CERN,CPU,HEP-SPEC06,175000,205000,271000,36000
Tier 0,Switzerland,CH-CERN,Disk,Tbytes,14500,14000,15000,5500
Tier 0,Switzerland,CH-CERN,Tape,Tbytes,16200,33000,35000,11200
Tier 1,Canada,CA-TRIUMF,CPU,HEP-SPEC06,,46200,,
Tier 1,Canada,CA-TRIUMF,Disk,Tbytes,,3900,,
Tier 1,Canada,CA-TRIUMF,Tape,Tbytes,,6500,,
Tier 1,France,FR-CCIN2P3,CPU,HEP-SPEC06,14700,46800,22600,23000
Tier 1,France,FR-CCIN2P3,Disk,Tbytes,2180,3790,1960,1880
Tier 1,France,FR-CCIN2P3,Tape,Tbytes,1420,6760,5580,4360
Tier 1,Germany,DE-KIT,CPU,HEP-SPEC06,30000,53250,26850,19600
Tier 1,Germany,DE-KIT,Disk,Tbytes,4010,4410,2600,2340
Tier 1,Germany,DE-KIT,Tape,Tbytes,2550,8125,7400,3960
Tier 1,Italy,IT-INFN-CNAF,CPU,HEP-SPEC06,22800,40500,39000,23600
Tier 1,Italy,IT-INFN-CNAF,Disk,Tbytes,3382,3500,3380,2720
Tier 1,Italy,IT-INFN-CNAF,Tape,Tbytes,4182,5850,9620,6870
Tier 1,Netherlands,NL-T1,CPU,HEP-SPEC06,6220,39600,,15661
Tier 1,Netherlands,NL-T1,Disk,Tbytes,511,3168,,1570
Tier 1,Netherlands,NL-T1,Tape,Tbytes,408,6015,,2773
Tier 1,Nordic,NDGF,CPU,HEP-SPEC06,14000,28110,,
Tier 1,Nordic,NDGF,Disk,Tbytes,1820,2550,,
Tier 1,Nordic,NDGF,Tape,Tbytes,790,3540,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,CPU,HEP-SPEC06,28000,,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,Disk,Tbytes,1000,,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,Tape,Tbytes,1500,,,
Tier 1,Russian Federation,NRC-KI-T1,CPU,HEP-SPEC06,28400,28400,,14200
Tier 1,Russian Federation,NRC-KI-T1,Disk,Tbytes,2520,2520,,1260
Tier 1,Russian Federation,NRC-KI-T1,Tape,Tbytes,2960,2960,,1480
Tier 1,Russian Federation,RU-JINR-T1,CPU,HEP-SPEC06,,,28800,
Tier 1,Russian Federation,RU-JINR-T1,Disk,Tbytes,,,2400,
Tier 1,Russian Federation,RU-JINR-T1,Tape,Tbytes,,,5000,
Tier 1,Spain,ES-PIC,CPU,HEP-SPEC06,,22950,15300,7670
Tier 1,Spain,ES-PIC,Disk,Tbytes,,1836,1326,761
Tier 1,Spain,ES-PIC,Tape,Tbytes,,3315,3774,1541
