Tier,Country,Federation,PledgeType,PledgeUnit,ALICE,ATLAS,CMS,LHCb
Tier 0,Switzerland,CH-CERN,CPU,HEP-SPEC06,90000,111000,121000,34000
Tier 0,Switzerland,CH-CERN,Disk,Tbytes,8100,10000,7000,4000
Tier 0,Switzerland,CH-CERN,Tape,Tbytes,14000,31000,28500,8500
Tier 1,Canada,CA-TRIUMF,CPU,HEP-SPEC06,,36500,,
Tier 1,Canada,CA-TRIUMF,Disk,Tbytes,,3500,,
Tier 1,Canada,CA-TRIUMF,Tape,Tbytes,,5300,,
Tier 1,France,FR-CCIN2P3,CPU,HEP-SPEC06,11500,33560,16750,21700
Tier 1,France,FR-CCIN2P3,Disk,Tbytes,1260,3680,1550,1350
Tier 1,France,FR-CCIN2P3,Tape,Tbytes,1050,4200,4475,1800
Tier 1,Germany,DE-KIT,CPU,HEP-SPEC06,30000,44375,17500,19200
Tier 1,Germany,DE-KIT,Disk,Tbytes,2700,4125,2600,2340
Tier 1,Germany,DE-KIT,Tape,Tbytes,5250,5500,5500,1850
Tier 1,Italy,IT-INFN-CNAF,CPU,HEP-SPEC06,20900,35500,22750,19800
Tier 1,Italy,IT-INFN-CNAF,Disk,Tbytes,1920,3500,3380,2520
Tier 1,Italy,IT-INFN-CNAF,Tape,Tbytes,2460,4400,7150,2180
Tier 1,Netherlands,NL-T1,CPU,HEP-SPEC06,6220,35015,,13848
Tier 1,Netherlands,NL-T1,Disk,Tbytes,390,3460,,1200
Tier 1,Netherlands,NL-T1,Tape,Tbytes,300,6015,,2200
Tier 1,Nordic,NDGF,CPU,HEP-SPEC06,11920,22130,,
Tier 1,Nordic,NDGF,Disk,Tbytes,1590,2240,,
Tier 1,Nordic,NDGF,Tape,Tbytes,770,2420,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,CPU,HEP-SPEC06,25000,,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,Disk,Tbytes,1000,,,
Tier 1,Republic of Korea,KR-KISTI-GSDC,Tape,Tbytes,1500,,,
